"","X","station","year","month","day","hour","date","rain","temp","rhum","msl","wdsp","wddir","RainLevel","WindLevel","WeatherLevel","DayWindLevel","Warning"
"24",24,"ATHENRY",2017,1,1,23,"2017-01-01 23:00:00","0","2,7",76,"1032",9,10,"Clear","Clear","Clear","Clear","None"
"48",48,"ATHENRY",2017,1,2,23,"2017-01-02 23:00:00","0","0,3",96,"1034,6",2,160,"Clear","Clear","Clear","Clear","None"
"72",72,"ATHENRY",2017,1,3,23,"2017-01-03 23:00:00","0","4,6",86,"1030,7",3,270,"Clear","Clear","Clear","Clear","None"
"96",96,"ATHENRY",2017,1,4,23,"2017-01-04 23:00:00","0","4,9",94,"1030,7",3,80,"Clear","Clear","Clear","Clear","None"
"120",120,"ATHENRY",2017,1,5,23,"2017-01-05 23:00:00","0","9,3",82,"1027,1",7,150,"Clear","Clear","Clear","Clear","None"
"144",144,"ATHENRY",2017,1,6,23,"2017-01-06 23:00:00","0","9,6",98,"1031,5",4,210,"Clear","Clear","Clear","Clear","None"
"168",168,"ATHENRY",2017,1,7,23,"2017-01-07 23:00:00","0,1","8,8",98,"1032,1",3,210,"Clear","Clear","Clear","Clear","None"
"192",192,"ATHENRY",2017,1,8,23,"2017-01-08 23:00:00","0","9,1",91,"1022,2",9,190,"Clear","Clear","Clear","Clear","None"
"216",216,"ATHENRY",2017,1,9,23,"2017-01-09 23:00:00","0","6,3",83,"1013",8,260,"Clear","Clear","Clear","Clear","None"
"240",240,"ATHENRY",2017,1,10,23,"2017-01-10 23:00:00","0,2","10",96,"1012,4",12,240,"Clear","Clear","Clear","Clear","None"
"264",264,"ATHENRY",2017,1,11,23,"2017-01-11 23:00:00","0","5,2",78,"1015,2",9,260,"Clear","Clear","Clear","Clear","None"
"288",288,"ATHENRY",2017,1,12,23,"2017-01-12 23:00:00","0","1,7",86,"1011,3",14,320,"Clear","Clear","Clear","Clear","None"
"312",312,"ATHENRY",2017,1,13,23,"2017-01-13 23:00:00","0","1,7",92,"1023,6",4,250,"Clear","Clear","Clear","Clear","None"
"336",336,"ATHENRY",2017,1,14,23,"2017-01-14 23:00:00","0","7",84,"1027,3",8,260,"Clear","Clear","Clear","Clear","None"
"360",360,"ATHENRY",2017,1,15,23,"2017-01-15 23:00:00","0","7,4",97,"1030,1",3,220,"Clear","Clear","Clear","Clear","None"
"384",384,"ATHENRY",2017,1,16,23,"2017-01-16 23:00:00","0,1","9,2",98,"1031,2",3,210,"Clear","Clear","Clear","Clear","None"
"408",408,"ATHENRY",2017,1,17,23,"2017-01-17 23:00:00","0","8,1",96,"1033,7",3,170,"Clear","Clear","Clear","Clear","None"
"432",432,"ATHENRY",2017,1,18,23,"2017-01-18 23:00:00","0","7,4",78,"1036,5",6,190,"Clear","Clear","Clear","Clear","None"
"456",456,"ATHENRY",2017,1,19,23,"2017-01-19 23:00:00","0","1,6",94,"1034,9",5,80,"Clear","Clear","Clear","Clear","None"
"480",480,"ATHENRY",2017,1,20,23,"2017-01-20 23:00:00","0","0,8",81,"1028,9",5,100,"Clear","Clear","Clear","Clear","None"
"504",504,"ATHENRY",2017,1,21,23,"2017-01-21 23:00:00","0","2,5",90,"1022,1",6,80,"Clear","Clear","Clear","Clear","None"
"528",528,"ATHENRY",2017,1,22,23,"2017-01-22 23:00:00","0","-2",96,"1025,3",3,40,"Clear","Clear","Clear","Clear","None"
"552",552,"ATHENRY",2017,1,23,23,"2017-01-23 23:00:00","0,2","8,3",86,"1018,8",9,180,"Clear","Clear","Clear","Clear","None"
"576",576,"ATHENRY",2017,1,24,23,"2017-01-24 23:00:00","0","11,2",85,"1016,4",11,160,"Clear","Clear","Clear","Clear","None"
"600",600,"ATHENRY",2017,1,25,23,"2017-01-25 23:00:00","0","9,2",67,"1008,9",18,150,"Clear","Clear","Clear","Clear","None"
"624",624,"ATHENRY",2017,1,26,23,"2017-01-26 23:00:00","0","6,1",87,"1000,3",11,120,"Clear","Clear","Clear","Clear","None"
"648",648,"ATHENRY",2017,1,27,23,"2017-01-27 23:00:00","0,3","4,5",95,"1003,9",3,180,"Clear","Clear","Clear","Clear","None"
"672",672,"ATHENRY",2017,1,28,23,"2017-01-28 23:00:00","0","2,5",91,"1008,9",5,190,"Clear","Clear","Clear","Clear","None"
"696",696,"ATHENRY",2017,1,29,23,"2017-01-29 23:00:00","0","7,8",96,"1004,7",3,120,"Clear","Clear","Clear","Clear","None"
"720",720,"ATHENRY",2017,1,30,23,"2017-01-30 23:00:00","0","9,3",94,"999,4",5,240,"Clear","Clear","Clear","Clear","None"
"744",744,"ATHENRY",2017,1,31,23,"2017-01-31 23:00:00","0","0,6",95,"1005",1,30,"Clear","Clear","Clear","Clear","None"
"768",768,"ATHENRY",2017,2,1,23,"2017-02-01 23:00:00","0","7,9",86,"984",11,100,"Clear","Clear","Clear","Clear","None"
"792",792,"ATHENRY",2017,2,2,23,"2017-02-02 23:00:00","0,3","7,8",87,"974,3",17,210,"Clear","Clear","Clear","Clear","None"
"816",816,"ATHENRY",2017,2,3,23,"2017-02-03 23:00:00","0,2","1,7",94,"988,5",5,200,"Clear","Clear","Clear","Clear","None"
"840",840,"ATHENRY",2017,2,4,23,"2017-02-04 23:00:00","0","0",97,"993,8",2,200,"Clear","Clear","Clear","Clear","None"
"864",864,"ATHENRY",2017,2,5,23,"2017-02-05 23:00:00","0","0,7",91,"1012,7",2,150,"Clear","Clear","Clear","Clear","None"
"888",888,"ATHENRY",2017,2,6,23,"2017-02-06 23:00:00","0,4","5,2",87,"1004,3",4,190,"Clear","Clear","Clear","Clear","None"
"912",912,"ATHENRY",2017,2,7,23,"2017-02-07 23:00:00","0","-1,6",95,"1025,1",2,160,"Clear","Clear","Clear","Clear","None"
"936",936,"ATHENRY",2017,2,8,23,"2017-02-08 23:00:00","0","6,9",86,"1022",9,110,"Clear","Clear","Clear","Clear","None"
"960",960,"ATHENRY",2017,2,9,23,"2017-02-09 23:00:00","0","1,8",76,"1024,5",8,80,"Clear","Clear","Clear","Clear","None"
"984",984,"ATHENRY",2017,2,10,23,"2017-02-10 23:00:00","0","2,2",74,"1031,4",6,40,"Clear","Clear","Clear","Clear","None"
"1008",1008,"ATHENRY",2017,2,11,23,"2017-02-11 23:00:00","0","2,6",76,"1030,8",10,20,"Clear","Clear","Clear","Clear","None"
"1032",1032,"ATHENRY",2017,2,12,23,"2017-02-12 23:00:00","0","2,7",90,"1020",9,60,"Clear","Clear","Clear","Clear","None"
"1056",1056,"ATHENRY",2017,2,13,23,"2017-02-13 23:00:00","0","7,1",75,"1013,1",14,80,"Clear","Clear","Clear","Clear","None"
"1080",1080,"ATHENRY",2017,2,14,23,"2017-02-14 23:00:00","0","6,1",93,"1018,7",8,110,"Clear","Clear","Clear","Clear","None"
"1104",1104,"ATHENRY",2017,2,15,23,"2017-02-15 23:00:00","0","7,1",83,"1024,2",10,220,"Clear","Clear","Clear","Clear","None"
"1128",1128,"ATHENRY",2017,2,16,23,"2017-02-16 23:00:00","0","7,8",91,"1024,7",3,160,"Clear","Clear","Clear","Clear","None"
"1152",1152,"ATHENRY",2017,2,17,23,"2017-02-17 23:00:00","0","11,3",87,"1016,9",9,180,"Clear","Clear","Clear","Clear","None"
"1176",1176,"ATHENRY",2017,2,18,23,"2017-02-18 23:00:00","0","8,6",84,"1020,4",6,200,"Clear","Clear","Clear","Clear","None"
"1200",1200,"ATHENRY",2017,2,19,23,"2017-02-19 23:00:00","0","9,6",98,"1022,3",10,230,"Clear","Clear","Clear","Clear","None"
"1224",1224,"ATHENRY",2017,2,20,23,"2017-02-20 23:00:00","0","8,6",96,"1018,6",4,230,"Clear","Clear","Clear","Clear","None"
"1248",1248,"ATHENRY",2017,2,21,23,"2017-02-21 23:00:00","0,1","10,1",95,"1008,4",14,250,"Clear","Clear","Clear","Clear","None"
"1272",1272,"ATHENRY",2017,2,22,23,"2017-02-22 23:00:00","0,1","10,3",94,"994,7",17,210,"Clear","Clear","Clear","Clear","None"
"1296",1296,"ATHENRY",2017,2,23,23,"2017-02-23 23:00:00","0","2,8",81,"1013,8",5,230,"Clear","Clear","Yellow","Yellow","Warning"
"1320",1320,"ATHENRY",2017,2,24,23,"2017-02-24 23:00:00","0","8,3",86,"1007,5",11,190,"Clear","Clear","Clear","Clear","None"
"1344",1344,"ATHENRY",2017,2,25,23,"2017-02-25 23:00:00","0","6,5",82,"1002",6,190,"Clear","Clear","Clear","Clear","None"
"1368",1368,"ATHENRY",2017,2,26,23,"2017-02-26 23:00:00","0,4","2,9",90,"989,8",9,180,"Clear","Clear","Clear","Clear","None"
"1392",1392,"ATHENRY",2017,2,27,23,"2017-02-27 23:00:00","0","-0,8",96,"985,1",4,280,"Clear","Clear","Clear","Clear","None"
"1416",1416,"ATHENRY",2017,2,28,23,"2017-02-28 23:00:00","0","1,7",92,"998",3,210,"Clear","Clear","Clear","Clear","None"
"1440",1440,"ATHENRY",2017,3,1,23,"2017-03-01 23:00:00","0,4","5,2",83,"996",17,250,"Clear","Clear","Clear","Clear","None"
"1464",1464,"ATHENRY",2017,3,2,23,"2017-03-02 23:00:00","0","5,4",94,"1000,8",3,160,"Clear","Clear","Clear","Clear","None"
"1488",1488,"ATHENRY",2017,3,3,23,"2017-03-03 23:00:00","3","5",94,"983,2",9,20,"Clear","Clear","Clear","Clear","None"
"1512",1512,"ATHENRY",2017,3,4,23,"2017-03-04 23:00:00","0","5,2",78,"986,1",6,250,"Clear","Clear","Clear","Clear","None"
